video ID,uploader,age,category,length,views,rate,ratings,comments
ymRqnLxbo5Y,Daxflame,744.0,People & Blogs,373.0,3754.0,4.12,162.0,223.0
qwvB3LQcq0w,tokenblackchic,744.0,Comedy,238.0,3685.0,4.56,120.0,328.0
unYsS-MJ-lA,animekub,744.0,Film & Animation,1394.0,7081.0,4.93,104.0,68.0
ptVayo3NiFo,TheAmazingAtheist,745.0,Entertainment,645.0,520.0,4.76,99.0,51.0
gZiknIe7HvQ,CIoudywolf,744.0,Film & Animation,653.0,6989.0,4.94,100.0,60.0
vUWqRhReaZk,picster,744.0,Film & Animation,314.0,8519.0,4.84,106.0,56.0
XfWcFy63rnY,piyopiyoBLEACH,744.0,Film & Animation,474.0,10733.0,4.85,99.0,65.0
wy1qHwnckRI,Danielbeast,745.0,People & Blogs,61.0,10123.0,4.29,131.0,92.0
7pyXkW8A6HI,CBS,744.0,Entertainment,110.0,5656.0,4.77,103.0,10.0
70TnlB1ofdw,barrock81,744.0,Comedy,575.0,1126.0,4.96,93.0,20.0
8GIpb0y_lo0,geerawrd111,744.0,Howto & DIY,605.0,1650.0,4.84,97.0,25.0
c9jArh6Xhis,brettkeane,744.0,People & Blogs,235.0,639.0,4.68,103.0,77.0
t1oQEVjdnUI,spricket24,744.0,Gadgets & Games,180.0,1856.0,4.11,141.0,170.0
05dSlYezssI,masterb8tr,744.0,Film & Animation,592.0,5691.0,4.97,94.0,33.0
cKNoyiXJL2o,periurban,744.0,Music,170.0,559.0,4.88,93.0,53.0
CaobYmvRfgw,DarkTamplar,744.0,Film & Animation,608.0,10104.0,4.91,91.0,52.0
hDd7LmXmovk,Wrathchild19,744.0,Music,341.0,6610.0,4.8,98.0,30.0
UaavxSpG2aA,nickynik,744.0,Entertainment,525.0,834.0,4.92,88.0,30.0
VpllfeDQQbo,Opheicus,744.0,Film & Animation,599.0,10611.0,4.91,88.0,27.0
